DCC0134,DCC0260
DCC0226,DCC0260
DCC0376,DCC0481
DCC0102,DCC0130
DCC0130,DCC0304
DCC0130,DCC0200
DCC0130,DCC0350
DCC0259,DCC0478
DCC0093,DCC0124
DCC0206,DCC1432
DCC0083,DCC0199
DCC1474,DCC1478
DCC0189,DCC0295
DCC1524,DCC1551
DCC0173,DCC0223
DCC0014,DCC1374
DCC0171,DCC1542
DCC0001,DCC0094
DCC0242,DCC1534
DCC0223,DCC1396
DCC0082,DCC1680
DCC0323,DCC0332
DCC0117,DCC0259
DCC0573,DCC1414
DCC0802,DCC1489
DCC0048,DCC1376
DCC0215,DCC1417
DCC1164,DCC1205
DCC1259,DCC1614
DCC0295,DCC0323
DCC0552,DCC1479
DCC0199,DCC0216
DCC0140,DCC0172
DCC0059,DCC0100
DCC0139,DCC0239
DCC0042,DCC0252
DCC0252,DCC0343
DCC0194,DCC0343
DCC0157,DCC0250
DCC0207,DCC0252
DCC0180,DCC0340
DCC0194,DCC0244
DCC0020,DCC0035
DCC0070,DCC0194
DCC0040,DCC0166
DCC0166,DCC0185
DCC0044,DCC0166
DCC0166,DCC0417
DCC0282,DCC0289
DCC0168,DCC0480
DCC0061,DCC0285
DCC0117,DCC0256
DCC0131,DCC0301
DCC0299,DCC0302
DCC0204,DCC0209
DCC0260,DCC0315
DCC0112,DCC0240
DCC0198,DCC0260
DCC0078,DCC0240
DCC0071,DCC0240
DCC0167,DCC0196
DCC0240,DCC0346
DCC0247,DCC0260
DCC0085,DCC0260
DCC0014,DCC0260
DCC0074,DCC0260
DCC0137,DCC0269
DCC0119,DCC0165
DCC0086,DCC0240
DCC0222,DCC0260
DCC0137,DCC0260
DCC0364,DCC0401
DCC0091,DCC0107
DCC0102,DCC0413
DCC0065,DCC0413
DCC0047,DCC0060
DCC0021,DCC0175
DCC0243,DCC0282
DCC0069,DCC0100
DCC0049,DCC0265
DCC0102,DCC0319
DCC0091,DCC0102
DCC0053,DCC0101
DCC0058,DCC0261
DCC0214,DCC0463
DCC0184,DCC0395
DCC0098,DCC0214
DCC0112,DCC0282
DCC0163,DCC0312
DCC0072,DCC0219
DCC0124,DCC0325
DCC0124,DCC0184
DCC0145,DCC0260
DCC0143,DCC0184
DCC0172,DCC0325
DCC0116,DCC0202
DCC0214,DCC0282
DCC0357,DCC0404
DCC0037,DCC0460
DCC0089,DCC0229
DCC0073,DCC0292
DCC0009,DCC0288
DCC0008,DCC0050
DCC0408,DCC0435
DCC0154,DCC0408
DCC0256,DCC0469
DCC0320,DCC0408
DCC0344,DCC0413
DCC0350,DCC0413
DCC0179,DCC0281
DCC0111,DCC0179
DCC0001,DCC0012
DCC0114,DCC0351
DCC0290,DCC0419
DCC0263,DCC0391
DCC0045,DCC0225
DCC0011,DCC0223
DCC0040,DCC0467
DCC0040,DCC0185
DCC0029,DCC0152
DCC0172,DCC0220
DCC0031,DCC0049
DCC0242,DCC0280
DCC0246,DCC0373
DCC0097,DCC0196
DCC0057,DCC0303
DCC0057,DCC0233
DCC0152,DCC0157
DCC0062,DCC0407
DCC0396,DCC0406
DCC0060,DCC0378
DCC0105,DCC0399
DCC0064,DCC0378
DCC0057,DCC0259
DCC0008,DCC0323
DCC0049,DCC0051
DCC0024,DCC0273
DCC0001,DCC0429
DCC0049,DCC0160
DCC0280,DCC0318
DCC0049,DCC0163
DCC0147,DCC0273
DCC0049,DCC0112
DCC0273,DCC0280
DCC0049,DCC0346
DCC0273,DCC0318
DCC0354,DCC0375
DCC0057,DCC0267
DCC0057,DCC0286
DCC0018,DCC0049
DCC0027,DCC0082
DCC0027,DCC0303
DCC0057,DCC0333
DCC0057,DCC0082
DCC0017,DCC0326
DCC0138,DCC0232
DCC0171,DCC0232
DCC0063,DCC0214
DCC0173,DCC0280
DCC0170,DCC0450
DCC0236,DCC0312
DCC0117,DCC0275
DCC0345,DCC0434
DCC0195,DCC0196
DCC0170,DCC0335
DCC0195,DCC0265
DCC0148,DCC0387
DCC0124,DCC0272
DCC0148,DCC0215
DCC0237,DCC0272
DCC0323,DCC0334
DCC0272,DCC0305
DCC0193,DCC0257
DCC0117,DCC0120
DCC0061,DCC0131
DCC0196,DCC0214
DCC0016,DCC0117
DCC0174,DCC0253
DCC0149,DCC0159
DCC0148,DCC0295
DCC0217,DCC0253
DCC0061,DCC0341
DCC0143,DCC0193
DCC0303,DCC0371
DCC0075,DCC0287
DCC0267,DCC0371
DCC0052,DCC0352
DCC0093,DCC0193
DCC0155,DCC0216
DCC0129,DCC0192
DCC0117,DCC0458
DCC0186,DCC0313
DCC0294,DCC0328
DCC0128,DCC0360
DCC0259,DCC0323
DCC0214,DCC0298
DCC0243,DCC0298
DCC0349,DCC0350
DCC0190,DCC0353
DCC0214,DCC0241
DCC0214,DCC0248
DCC0272,DCC0342
DCC0016,DCC0103
DCC0025,DCC0468
DCC0051,DCC0287
DCC0117,DCC0215
DCC0117,DCC0223
DCC0026,DCC0131
DCC0264,DCC0332
DCC0087,DCC0214
DCC0168,DCC0422
DCC0008,DCC0094
DCC0008,DCC0096
DCC0082,DCC0245
DCC0008,DCC0259
DCC0088,DCC0329
DCC0008,DCC0067
DCC0311,DCC0414
DCC0008,DCC0123
DCC0382,DCC0445
DCC0072,DCC0164
DCC0008,DCC0245
DCC0093,DCC0266
DCC0072,DCC0314
DCC0215,DCC0411
DCC0023,DCC0339
DCC0454,DCC0455
DCC0120,DCC0189
DCC0223,DCC0386
DCC0117,DCC0369
DCC0075,DCC0254
DCC0308,DCC0456
DCC0148,DCC0223
DCC0117,DCC0271
DCC0295,DCC0329
DCC0049,DCC0138
DCC0048,DCC0188
DCC0117,DCC0123
DCC0116,DCC0287
DCC0138,DCC0238
DCC0081,DCC0214
DCC0116,DCC0221
DCC0256,DCC0456
DCC0007,DCC0131
DCC0024,DCC0350
DCC0367,DCC0397
DCC0170,DCC0405
DCC0053,DCC0213
DCC0111,DCC0366
DCC0039,DCC0322
DCC0190,DCC0285
DCC0259,DCC0473
DCC0787,DCC1628
DCC0296,DCC1142
DCC1587,DCC1659
DCC0061,DCC0138
DCC0723,DCC0932
DCC0139,DCC1131
DCC0168,DCC1116
DCC0131,DCC1564
DCC0067,DCC0329
DCC1124,DCC1680
DCC0006,DCC0079
DCC0123,DCC0158
DCC0240,DCC0290
DCC0096,DCC0329
DCC0073,DCC0270
DCC0407,DCC1740
DCC1127,DCC1678
DCC0094,DCC0329
DCC0240,DCC0296
DCC0056,DCC0242
DCC0012,DCC1678
DCC0043,DCC0177
DCC1194,DCC1593
DCC0180,DCC0194
DCC0057,DCC1680
DCC0073,DCC0331
DCC0252,DCC1699
DCC0014,DCC0331
DCC1333,DCC1493
DCC0260,DCC1355
DCC0057,DCC0371
DCC0255,DCC1393
DCC0047,DCC1722
DCC0887,DCC1336
DCC1361,DCC1507
DCC0166,DCC1825
DCC0166,DCC1370
DCC0196,DCC1377
DCC0908,DCC1823
DCC0836,DCC1823
DCC0836,DCC1097
DCC0552,DCC0908
DCC0071,DCC0552
DCC0244,DCC0252
DCC0207,DCC0340
DCC0587,DCC1183
DCC0140,DCC0257
DCC0172,DCC1246
DCC0155,DCC1246
DCC0257,DCC1828
DCC0260,DCC1829
DCC0260,DCC0337
DCC0337,DCC1852
DCC0260,DCC1328
DCC0260,DCC1455
DCC0260,DCC1852
DCC0072,DCC0260
DCC0243,DCC1845
DCC0214,DCC0243
DCC0184,DCC0257
DCC0184,DCC1860
DCC0184,DCC0193
DCC0184,DCC0187
DCC1830,DCC1852
DCC0202,DCC1831
DCC0075,DCC0282
DCC0075,DCC1486
DCC0180,DCC1112
DCC0040,DCC0143
DCC0211,DCC0959
DCC0794,DCC1381
DCC0287,DCC1284
DCC0186,DCC1836
DCC0340,DCC1841
DCC1838,DCC1842
DCC1838,DCC1852
DCC0257,DCC1454
DCC0216,DCC0257
DCC0149,DCC0257
DCC0266,DCC1844
DCC0035,DCC1844
DCC0075,DCC1849
DCC0799,DCC1848
DCC1285,DCC1846
DCC1846,DCC1852
DCC0187,DCC1370
DCC0039,DCC1370
DCC1850,DCC1852
DCC1852,DCC1856
DCC0157,DCC0333
DCC1256,DCC1854
DCC0797,DCC1859
DCC0067,DCC0904
DCC0157,DCC0859
DCC0887,DCC1705
DCC1124,DCC1749
DCC0203,DCC0784
DCC0057,DCC0779
DCC0378,DCC0601
DCC1384,DCC1662
DCC0410,DCC1450
DCC0601,DCC1733
DCC0112,DCC1210
DCC0295,DCC0336
DCC0329,DCC1657
DCC0158,DCC0596
DCC1384,DCC1723
DCC0250,DCC0290
DCC0329,DCC0652
DCC0170,DCC1599
DCC0188,DCC1208
DCC0705,DCC1482
DCC1105,DCC1561
DCC1559,DCC1584
DCC0334,DCC0717
DCC0012,DCC0332
DCC0062,DCC1740
DCC0240,DCC1719
DCC0290,DCC0700
DCC0323,DCC0429
DCC0240,DCC1744
DCC0131,DCC1692
DCC0295,DCC0332
DCC0323,DCC1020
DCC0123,DCC0295
DCC0009,DCC0640
DCC0206,DCC1353
DCC0348,DCC1477
DCC0295,DCC1639
DCC0264,DCC0348
DCC0256,DCC1017
DCC0027,DCC0057
DCC0066,DCC0464
DCC0097,DCC0321
DCC1353,DCC1728
DCC0769,DCC0912
DCC1280,DCC1368
DCC0332,DCC0777
DCC0094,DCC0120
DCC1247,DCC1530
DCC0325,DCC1745
DCC0003,DCC0079
DCC0050,DCC1539
DCC0171,DCC0296
DCC0003,DCC0148
DCC1330,DCC1339
DCC0371,DCC1124
DCC0269,DCC0270
DCC0057,DCC1743
DCC0100,DCC1548
DCC0050,DCC0329
DCC0100,DCC1541
DCC1166,DCC1411
DCC0290,DCC0859
DCC0233,DCC1567
DCC0057,DCC1690
DCC0170,DCC1200
DCC0370,DCC0601
DCC0666,DCC1224
DCC0048,DCC1574
DCC0009,DCC0103
DCC0138,DCC1011
DCC0065,DCC0115
DCC0077,DCC0261
DCC0361,DCC1138
DCC0290,DCC1390
DCC1259,DCC1412
DCC0128,DCC1164
DCC0077,DCC0239
DCC0199,DCC0304
DCC1040,DCC1450
DCC1116,DCC1508
DCC1546,DCC1574
DCC0057,DCC1183
DCC1040,DCC1466
DCC0250,DCC1494
DCC0304,DCC0319
DCC0122,DCC1024
DCC0323,DCC0932
DCC0323,DCC0904
DCC0040,DCC0224
DCC0264,DCC1135
DCC0652,DCC1353
DCC0223,DCC1137
DCC1132,DCC1133
DCC1160,DCC1703
DCC0057,DCC1664
DCC0239,DCC0255
DCC0223,DCC0917
DCC0240,DCC1390
DCC0036,DCC0269
DCC0259,DCC0329
DCC0223,DCC1149
DCC0040,DCC1372
DCC0131,DCC1110
DCC0887,DCC1498
DCC0082,DCC1433
DCC0122,DCC0329
DCC0723,DCC1537
DCC0055,DCC1682
DCC0094,DCC0245
DCC0048,DCC0059
DCC0156,DCC0329
DCC0050,DCC1450
DCC0303,DCC1560
DCC0180,DCC0252
DCC0156,DCC1535
DCC0289,DCC1678
DCC0024,DCC0280
DCC1288,DCC1556
DCC0323,DCC0789
DCC0048,DCC0259
DCC0280,DCC1221
DCC0057,DCC1567
DCC0103,DCC1443
DCC0112,DCC1247
DCC0194,DCC1112
DCC0134,DCC1386
DCC0117,DCC0122
DCC0117,DCC0128
DCC0057,DCC0741
DCC0255,DCC1584
DCC0014,DCC1191
DCC0009,DCC1235
DCC0057,DCC1133
DCC0016,DCC1525
DCC1116,DCC1539
DCC0296,DCC1137
DCC0318,DCC1684
DCC0717,DCC1443
DCC0050,DCC0157
DCC0204,DCC1353
DCC0215,DCC0361
DCC0276,DCC0657
DCC1293,DCC1524
DCC0290,DCC0601
DCC0290,DCC0657
DCC0057,DCC1424
DCC0294,DCC0657
DCC0319,DCC1240
DCC0067,DCC0117
DCC0319,DCC1365
DCC0137,DCC1509
DCC0030,DCC0111
DCC0282,DCC0944
DCC0114,DCC0342
DCC0198,DCC1502
DCC0114,DCC1552
DCC0240,DCC0303
DCC1172,DCC1182
DCC0849,DCC1542
DCC0169,DCC0181
DCC0079,DCC0295
DCC0158,DCC0245
DCC0909,DCC1622
DCC0174,DCC1423
DCC0157,DCC0290
DCC0043,DCC0049
DCC0030,DCC0132
DCC0811,DCC1690
DCC0245,DCC0329
DCC0342,DCC1478
DCC0705,DCC0850
DCC0171,DCC1755
DCC0124,DCC0172
DCC1244,DCC1329
DCC0001,DCC0323
DCC0218,DCC1149
DCC0139,DCC0216
DCC0868,DCC1454
DCC0233,DCC1124
DCC0371,DCC1644
DCC0022,DCC1335
DCC0258,DCC1293
DCC1143,DCC1468
DCC0079,DCC1443
DCC0238,DCC1411
DCC0131,DCC1676
DCC0057,DCC0085
DCC0612,DCC1221
DCC0886,DCC1431
DCC0049,DCC0944
DCC1677,DCC1689
DCC0097,DCC1687
DCC0038,DCC0565
DCC0008,DCC0012
DCC0551,DCC1227
DCC0043,DCC0320
DCC0012,DCC1127
DCC0635,DCC0887
DCC0169,DCC0331
DCC0280,DCC1728
DCC1437,DCC1473
DCC0157,DCC1140
DCC1384,DCC1599
DCC1203,DCC1521
DCC0131,DCC0868
DCC1112,DCC1267
DCC0024,DCC0464
DCC0156,DCC0613
DCC0152,DCC0240
DCC0818,DCC1380
DCC0112,DCC0312
DCC0464,DCC1333
DCC0684,DCC1390
DCC0094,DCC0403
DCC0012,DCC1628
DCC0169,DCC1641
DCC0099,DCC0139
DCC0191,DCC0410
DCC1021,DCC1376
DCC0079,DCC0336
DCC1182,DCC1481
DCC0276,DCC0859
DCC0173,DCC0218
DCC0168,DCC1466
DCC0129,DCC1367
DCC0050,DCC0336
DCC0082,DCC0811
DCC0216,DCC1662
DCC0152,DCC0250
DCC0256,DCC1357
DCC0240,DCC1377
DCC0059,DCC1498
DCC0590,DCC1446
DCC0203,DCC0545
DCC0306,DCC1524
DCC0323,DCC1390
DCC0177,DCC0236
DCC0048,DCC1546
DCC0179,DCC1209
DCC0329,DCC0330
DCC0348,DCC1466
DCC0015,DCC0270
DCC1478,DCC1728
DCC0290,DCC0294
DCC0144,DCC0319
DCC0603,DCC0834
DCC0259,DCC0620
DCC0165,DCC1574
DCC0099,DCC0216
DCC0787,DCC1417
DCC0177,DCC1498
DCC0256,DCC0629
DCC1390,DCC1666
DCC0204,DCC0246
DCC0139,DCC0255
DCC0075,DCC1545
DCC0080,DCC1112
DCC0085,DCC0174
DCC0174,DCC1381
DCC0218,DCC0223
DCC0100,DCC1207
DCC0278,DCC1471
DCC0131,DCC0218
DCC0348,DCC1390
DCC0450,DCC1587
DCC0094,DCC0323
DCC0216,DCC1560
DCC0157,DCC1191
DCC1242,DCC1314
DCC0075,DCC0214
DCC0156,DCC0277
DCC0080,DCC1182
DCC0026,DCC1035
DCC0117,DCC0158
DCC0156,DCC0304
DCC0008,DCC1681
DCC0270,DCC0315
DCC0216,DCC1468
DCC0083,DCC0893
DCC0252,DCC1241
DCC1188,DCC1258
DCC0057,DCC0885
DCC0252,DCC1301
DCC0106,DCC0314
DCC0116,DCC0232
DCC0040,DCC0044
DCC0070,DCC0252
DCC0881,DCC1097
DCC0040,DCC0325
DCC0037,DCC1199
DCC0797,DCC1742
DCC0552,DCC0665
DCC0237,DCC0282
DCC1486,DCC1662
DCC0184,DCC0195
DCC1704,DCC1834
DCC0083,DCC0272
DCC0031,DCC0240
DCC0240,DCC0243
DCC0163,DCC0240
DCC0240,DCC1191
DCC0160,DCC0240
DCC0135,DCC1819
DCC0135,DCC1822
DCC0135,DCC1284
DCC0214,DCC1810
DCC0139,DCC1459
DCC0024,DCC1857
DCC0047,DCC1811
DCC1491,DCC1811
DCC0051,DCC1812
DCC1425,DCC1705
DCC0040,DCC0319
DCC0184,DCC1813
DCC0193,DCC1813
DCC0216,DCC1813
DCC0101,DCC1824
DCC0224,DCC1833
DCC1814,DCC1852
DCC0298,DCC1845
DCC0051,DCC0298
DCC0047,DCC0136
DCC0036,DCC0047
DCC0047,DCC1852
DCC0159,DCC0368
DCC1815,DCC1851
DCC0260,DCC1816
DCC1816,DCC1838
DCC0257,DCC0325
DCC0064,DCC0137
DCC0196,DCC0289
DCC0214,DCC0289
DCC0204,DCC1282
DCC0001,DCC0329
DCC0128,DCC0162
DCC0047,DCC0142
DCC1117,DCC1137
DCC0012,DCC0295
DCC0008,DCC0329
DCC1140,DCC1454
DCC0057,DCC1560
DCC0325,DCC1122
DCC0145,DCC0247
DCC1204,DCC1595
DCC0164,DCC0314
DCC0186,DCC0308
DCC1361,DCC1595
DCC0016,DCC0334
DCC0179,DCC1368
DCC0022,DCC1407
DCC1108,DCC1381
DCC0738,DCC1584
DCC0106,DCC0164
DCC0079,DCC0128
DCC0329,DCC0853
DCC0094,DCC1688
DCC0329,DCC0770
DCC0016,DCC0259
DCC1133,DCC1569
DCC0329,DCC1736
DCC0156,DCC1707
DCC0105,DCC1594
DCC1345,DCC1524
DCC0887,DCC1133
DCC0810,DCC1503
DCC0082,DCC1136
DCC0057,DCC1444
DCC0318,DCC0319
DCC0464,DCC0927
DCC1465,DCC1481
DCC0218,DCC0917
DCC0191,DCC0245
DCC0245,DCC0532
DCC0134,DCC0169
DCC0009,DCC0156
DCC0875,DCC1338
DCC0247,DCC1390
DCC0315,DCC0331
DCC0321,DCC1422
DCC0294,DCC1542
DCC0044,DCC1247
DCC0091,DCC0235
DCC0938,DCC1781
DCC0011,DCC1161
DCC0123,DCC0216
DCC0079,DCC0259
DCC0235,DCC0319
DCC0239,DCC0738
DCC0303,DCC1680
DCC1523,DCC1679
DCC1182,DCC1705
DCC1273,DCC1593
DCC0048,DCC0334
DCC0009,DCC0325
DCC1450,DCC1539
DCC0271,DCC0956
DCC0137,DCC0198
DCC0131,DCC1143
DCC0073,DCC0260
DCC0180,DCC0834
DCC1046,DCC1755
DCC0139,DCC0318
DCC0114,DCC1445
DCC1488,DCC1498
DCC0793,DCC0907
DCC0060,DCC0169
DCC0295,DCC0634
DCC0139,DCC0969
DCC0296,DCC1046
DCC0057,DCC1505
DCC0001,DCC1535
DCC0306,DCC1524
DCC0118,DCC1330
DCC0335,DCC1479
DCC0073,DCC0169
DCC0011,DCC1143
DCC0304,DCC1110
DCC1124,DCC1560
