d1,d2,count
Darunavir,Rifapentine,2
Cyclophosphamide,Vorinostat,2
Cyclophosphamide,Trientine,2
Cyclophosphamide,Erlotinib,2
Gliclazide,Repaglinide,2
Ziprasidone,Tropisetron,2
Cyclophosphamide,Mitoxantrone,2
Hydrochlorothiazide,Azilsartan,2
Cyclophosphamide,Leflunomide,2
Hydrochlorothiazide,Isosorbide,2
Cyclophosphamide,Mitomycin,2
Cyclophosphamide,Sunitinib,2
Pseudoephedrine,Tramadol,2
Entecavir,Zidovudine,2
Hydrochlorothiazide,Teriflunomide,2
Fluoxetine,Desipramine,2
Lamivudine,Linezolid,2
Pseudoephedrine,Famotidine,2
Pseudoephedrine,Ergotamine,2
Adefovir,Amphotericin,2
Cyclophosphamide,Rabeprazole,2
Darunavir,Didanosine,2
Cisplatin,Vinblastine,2
Entecavir,Saquinavir,2
Fluoxetine,Riluzole,2
Fluoxetine,Paroxetine,2
Cyclophosphamide,Zosuquidar,2
Cyclophosphamide,Asparaginase,2
Cyclophosphamide,Imatinib,2
Fluoxetine,Escitalopram,2
Lamivudine,Clofazimine,2
Lamivudine,Colchicine,2
Hydrochlorothiazide,Streptomycin,2
Metformin,Voglibose,2
Adefovir,Telaprevir,2
Hydrochlorothiazide,Prazosin,2
Cyclophosphamide,Procarbazine,2
Pseudoephedrine,Promethazine,2
Ethinyl,Follitropin,2
Ethinyl,Triptorelin,2
Hydrochlorothiazide,Pargyline,2
Hydrochlorothiazide,Fimasartan,2
Entecavir,Anidulafungin,2
Hydrochlorothiazide,Polythiazide,2
Adefovir,Estradiol,2
Hydrochlorothiazide,Salbutamol,2
Metformin,"Estrogens,",2
Cisplatin,Vandetanib,2
Adefovir,Darunavir,2
Entecavir,Darunavir,2
Cyclophosphamide,Defibrotide,2
Adefovir,Zidovudine,2
Prednisone,Tirofiban,2
Entecavir,Telaprevir,2
Darunavir,Telaprevir,2
Metformin,Ethacrynic,2
Cyclophosphamide,Sorafenib,2
Ethinyl,Testosterone,2
Hydrochlorothiazide,Dorzolamide,2
Lamivudine,Tipranavir,2
Adefovir,Ritonavir,2
Pseudoephedrine,Homatropine,2
Ethinyl,Conjugated,2
Lamivudine,Vorinostat,2
Adefovir,Isoniazid,1
Adefovir,Phentolamine,1
Entecavir,Penicillin,1
Adefovir,Saquinavir,1
Adefovir,Penicillin,1
Entecavir,Propranolol,1
Adefovir,Delavirdine,1
Entecavir,Sildenafil,1
Adefovir,Candesartan,1
Entecavir,Isoniazid,1
Entecavir,Losartan,1
Entecavir,Cobicistat,1
Entecavir,Aliskiren,1
Entecavir,Trifluridine,1
Entecavir,Kanamycin,1
Adefovir,Terbutaline,1
Adefovir,Bisacodyl,1
Entecavir,Chlorthalidone,1
Entecavir,Droperidol,1
Entecavir,Felodipine,1
Entecavir,Riluzole,1
Entecavir,Triptorelin,1
Adefovir,Nebivolol,1
Entecavir,Lomefloxacin,1
Adefovir,Riluzole,1
Adefovir,Paricalcitol,1
Entecavir,Labetalol,1
Entecavir,Methylphenidate,1
Entecavir,Medroxyprogeterone,1
Adefovir,Anidulafungin,1
Adefovir,Cephalexin,1
Entecavir,Cephalexin,1
Adefovir,Kanamycin,1
Adefovir,Perindopril,1
Adefovir,Carvedilol,1
Entecavir,Donepezil,1
Entecavir,Fusidic,1
Entecavir,Candesartan,1
Prednisone,Niacin,1
Ziprasidone,Ethosuximide,1
Repaglinide,Linagliptin,1
Cisplatin,Afatinib,1
Cisplatin,Asparaginase,1
Hydrochlorothiazide,Hydroflumethiazide,1
Cisplatin,Defibrotide,1
Cisplatin,Romiplostim,1
Cisplatin,Isotretinoin,1
Cisplatin,Etoposide,1
Cisplatin,Azacitidine,1
Cisplatin,Anakinra,1
Cyclophosphamide,Dasatinib,1
Cyclophosphamide,Ifosfamide,1
Fluoxetine,Donepezil,1
Pseudoephedrine,Cimetidine,1
Metformin,Furosemide,1
Repaglinide,Lixisenatide,1
Ziprasidone,Zonisamide,1
Repaglinide,Zonisamide,1
Mesna,Interferon,1
Aspirin,Zotarolimus,1
Prednisone,Anti-thymocyte,1
Amoxicillin,Pefloxacin,1
Amoxicillin,Ceftazidime,1
Metformin,Phenylbutyrate,1
Metformin,Clozapine,1
Metformin,Sertraline,1
Amoxicillin,Amikacin,1
Metformin,Perphenazine,1
Metformin,Amitriptyline,1
Prednisone,Interferon,1
Hydrochlorothiazide,Lapaquistat,1
Cisplatin,Trimetrexate,1
Cisplatin,Raloxifene,1
Cisplatin,Thalidomide,1
Cisplatin,Lapatinib,1
Ziprasidone,Clomipramine,1
Clobetasol,Brentuximab,1
17-DMAG,Mercaptopurine,1
Ergotamine,Indomethacin,1
Pipemidic,Clioquinol,1
Belatacept,Cyclosporine,1
Belatacept,Anti-thymocyte,1
Ceftriaxone,Fluorometholone,1
Ceftriaxone,Gentamicin,1
Hydrochlorothiazide,Chlorothiazide,1
Ceftriaxone,Colistin,1
Ceftriaxone,Imipenem,1
Cisplatin,Lomustine,1
Cisplatin,Filgrastim,1
Ceftriaxone,Teicoplanin,1
Cisplatin,Uracil,1
Cisplatin,Axitinib,1
Cisplatin,Floxuridine,1
Cisplatin,Norethindrone,1
Adefovir,Apixaban,1
Cisplatin,Genistein,1
Cisplatin,Sorafenib,1
Cisplatin,Sunitinib,1
Cisplatin,Trifluridine,1
Hydrochlorothiazide,Verapamil,1
Hydrochlorothiazide,Trandolapril,1
Cisplatin,Octreotide,1
Cisplatin,Zoledronate,1
Cisplatin,Idarubicin,1
Entecavir,Ritonavir,1
Cisplatin,Canfosfamide,1
Adefovir,Methylphenidate,1
Darunavir,Indinavir,1
Captopril,Lovastatin,1
Captopril,Pindolol,1
Captopril,Valsartan,1
Captopril,Felodipine,1
Captopril,Benzathine,1
Captopril,Nebivolol,1
Darunavir,Efavirenz,1
Isotretinoin,Rituximab,1
Methamphetamine,Isoproterenol,1
Methamphetamine,Loratadine,1
Isotretinoin,Clofarabine,1
Isotretinoin,Bortezomib,1
Isotretinoin,Cytarabine,1
Isotretinoin,Tanespimycin,1
Darunavir,Zidovudine,1
Darunavir,Emtricitabine,1
Captopril,Ramipril,1
Captopril,Gemfibrozil,1
Captopril,Cerivastatin,1
Darunavir,Abacavir,1
Darunavir,Pyrazinamide,1
Darunavir,Linezolid,1
Darunavir,Fluconazole,1
Darunavir,Posaconazole,1
Darunavir,Stavudine,1
Captopril,Candesartan,1
Entecavir,Rifapentine,1
Entecavir,Itraconazole,1
Entecavir,Abacavir,1
Entecavir,Amphotericin,1
Entecavir,Emtricitabine,1
Isotretinoin,Etoposide,1
Isotretinoin,Plerixafor,1
Adefovir,Droperidol,1
Elvitegravir,Raltegravir,1
Isotretinoin,Methotrexate,1
Isotretinoin,Tirofiban,1
Cefepime,Metronidazole,1
Cefepime,Piperacillin,1
Cefepime,Tazobactam,1
Elvitegravir,Tipranavir,1
Cefepime,Ertapenem,1
Isotretinoin,Ofatumumab,1
Elvitegravir,Atazanavir,1
Cefepime,Netilmicin,1
Cefepime,Loteprednol,1
Elvitegravir,Pitavastatin,1
Elvitegravir,Darunavir,1
Cefepime,Cefotaxime,1
Isotretinoin,Idarubicin,1
Isotretinoin,Rabeprazole,1
Isotretinoin,Pantoprazole,1
Isotretinoin,Mequinol,1
Isotretinoin,Prednisone,1
Isotretinoin,U0126,1
Isotretinoin,Tretinoin,1
Elvitegravir,Ritonavir,1
Elvitegravir,Saquinavir,1
Cefepime,Avibactam,1
Isotretinoin,Busulfan,1
Isotretinoin,Golimumab,1
Isotretinoin,Ibritumomab,1
Isotretinoin,SCH,1
Isotretinoin,Gemtuzumab,1
Isotretinoin,Zosuquidar,1
Isotretinoin,Mitoxantrone,1
Entecavir,Fluconazole,1
Adefovir,Abacavir,1
Adefovir,Rifapentine,1
Adefovir,Testosterone,1
Adefovir,Dobutamine,1
Adefovir,Aliskiren,1
Adefovir,Labetalol,1
Entecavir,Carvedilol,1
Adefovir,Sildenafil,1
Adefovir,Arformoterol,1
Adefovir,Lomefloxacin,1
Adefovir,Atazanavir,1
Adefovir,Trifluridine,1
Adefovir,Medroxyprogeterone,1
Adefovir,Carbamazepine,1
Adefovir,Cobicistat,1
Hydrocortisone,Fibrinolysin,1
Metformin,Citalopram,1
Adefovir,Chlorthalidone,1
Adefovir,Felodipine,1
Adefovir,Bicalutamide,1
Entecavir,Terbutaline,1
Adefovir,Captopril,1
Adefovir,Fluconazole,1
Adefovir,Propranolol,1
Entecavir,Bisacodyl,1
Adefovir,Donepezil,1
Adefovir,Enoxaparin,1
Adefovir,Fusidic,1
Entecavir,Paricalcitol,1
Adefovir,Lorazepam,1
Adefovir,Indinavir,1
Entecavir,Dobutamine,1
Adefovir,Moclobemide,1
Adefovir,Tadalafil,1
Metformin,Conivaptan,1
Cisplatin,L744832,1
Cisplatin,Dasatinib,1
Hydrochlorothiazide,Nitroprusside,1
Prednisone,Nystatin,1
Prednisone,Fluocinolone,1
Fluoxetine,Clobazam,1
Lamivudine,Amphotericin,1
Fluoxetine,Clonazepam,1
Prednisone,Triamcinolone,1
Sildenafil,Somatokine,1
Prednisone,Ondansetron,1
Prednisone,Fosaprepitant,1
Cyclophosphamide,Temozolomide,1
Cyclophosphamide,Letrozole,1
Prednisone,Neomycin,1
Ticagrelor,Dipyridamole,1
Hydrochlorothiazide,Diazoxide,1
Hydrochlorothiazide,Cerivastatin,1
Cisplatin,Sorivudine,1
Cisplatin,Pertuzumab,1
Cisplatin,Obatoclax,1
Amoxicillin,Loteprednol,1
Cisplatin,Ixabepilone,1
Cisplatin,Enzastaurin,1
Cisplatin,Neratinib,1
Cisplatin,Dacarbazine,1
Cisplatin,Tipifarnib,1
Paclitaxel,Linifanib,1
Fluticasone,Tetracaine,1
Epinephrine,Terlipressin,1
Amoxicillin,Ticarcillin,1
Ethinyl,Norethynodrel,1
Cisplatin,Lonafarnib,1
Hydrochlorothiazide,Ibandronate,1
Hydrochlorothiazide,Bupivacaine,1
Paclitaxel,Canfosfamide,1
Lamivudine,Trimethoprim,1
Hydrochlorothiazide,Papaverine,1
Hydrochlorothiazide,Phentolamine,1
Hydrochlorothiazide,Alprostadil,1
Docetaxel,Filgrastim,1
Hydrochlorothiazide,Conivaptan,1
Hydrochlorothiazide,Pilocarpine,1
Hydrochlorothiazide,Tadalafil,1
Doxorubicin,Bacitracin,1
Doxorubicin,Polymyxin,1
Lamivudine,Phenytoin,1
Doxorubicin,Octreotide,1
Doxorubicin,Azacitidine,1
Pseudoephedrine,Pyrilamine,1
Doxorubicin,Oxytetracycline,1
Lamivudine,Temozolomide,1
Paclitaxel,Floxuridine,1
Cefuroxime,Imipenem,1
Chlorambucil,Trebananib,1
Ziprasidone,Clozapine,1
Ziprasidone,Lithium,1
Cyclophosphamide,Anastrozole,1
Cyclophosphamide,Ondansetron,1
Cyclophosphamide,Zoledronate,1
Fluoxetine,Aripiprazole,1
Pseudoephedrine,Montelukast,1
Ceftriaxone,Omeprazole,1
Pseudoephedrine,Orphenadrine,1
Pseudoephedrine,Aminophylline,1
Pseudoephedrine,Caffeine,1
Oxymorphone,Naltrexone,1
Docetaxel,Trebananib,1
Hydrochlorothiazide,Difenoxin,1
Hydrochlorothiazide,Celecoxib,1
Docetaxel,Ixabepilone,1
Docetaxel,Pantoprazole,1
Docetaxel,Enbrel,1
Docetaxel,Fludarabine,1
Docetaxel,Adefovir,1
Docetaxel,Ipilimumab,1
Docetaxel,Tirofiban,1
Docetaxel,AEE788,1
Hydrochlorothiazide,Mifepristone,1
Docetaxel,Everolimus,1
Docetaxel,Ocrelizumab,1
Docetaxel,Lintuzumab,1
Docetaxel,Canfosfamide,1
Docetaxel,Rifapentine,1
Hydrochlorothiazide,Oxymetazoline,1
Docetaxel,Tazarotene,1
Docetaxel,NGR-hTNF,1
Docetaxel,Busulfan,1
Docetaxel,2-methoxyestradiol,1
Docetaxel,Tacrolimus,1
Hydrochlorothiazide,Gemfibrozil,1
Docetaxel,Vitamin,1
Hydrochlorothiazide,Fluticasone,1
Docetaxel,Bortezomib,1
Docetaxel,Rapamycin,1
Docetaxel,Trabectedin,1
Docetaxel,Rituximab,1
Hydrochlorothiazide,Indacaterol,1
Hydrochlorothiazide,Methylphenidate,1
Hydrochlorothiazide,Formoterol,1
Floxuridine,Ondansetron,1
Floxuridine,Fosaprepitant,1
Oxymorphone,Ketamine,1
Cyclophosphamide,Vitamin,1
Cyclophosphamide,Oxaliplatin,1
Cyclophosphamide,Calcipotriol,1
Acetaminophen,Promethazine,1
Acetaminophen,Phenylephrine,1
Cyclophosphamide,Cyclosporine,1
Cyclophosphamide,Trabectedin,1
Acetaminophen,Ketamine,1
Cyclophosphamide,Temsirolimus,1
Acetaminophen,Rilonacept,1
Cyclophosphamide,Adalimumab,1
Cyclophosphamide,Tirapazamine,1
Cyclophosphamide,Ipilimumab,1
Cyclophosphamide,Tacrolimus,1
Acetaminophen,Triprolidine,1
Acetaminophen,Desloratadine,1
Cyclophosphamide,Dacarbazine,1
Ethinyl,Anastrozole,1
Hydrochlorothiazide,Proguanil,1
Ethinyl,Ganitumab,1
Ethinyl,Bicalutamide,1
Ethinyl,Progestrone,1
Cyclophosphamide,CI-1040,1
Ethinyl,Letrozole,1
Lamivudine,Voglibose,1
Dexamethasone,Goserelin,1
Lamivudine,Oseltamivir,1
Prednisone,Albendazole,1
Lamivudine,Carbamazepine,1
Lamivudine,Topiramate,1
Acetaminophen,Buprenorphine,1
Acetaminophen,Cetirizine,1
Entecavir,Vorinostat,1
Acetaminophen,Diphenhydramine,1
Entecavir,Voglibose,1
Entecavir,Pitavastatin,1
Entecavir,Efavirenz,1
Entecavir,Lopinavir,1
Entecavir,Stavudine,1
Amoxicillin,Garenoxacin,1
Atorvastatin,Atovaquone,1
Hydrochlorothiazide,Quinethazone,1
Hydrochlorothiazide,Nitrendipine,1
Ibuprofen,Desloratadine,1
Ibuprofen,Promethazine,1
Ibuprofen,Methamphetamine,1
Ibuprofen,Loratadine,1
Ibuprofen,Cetirizine,1
Cyclophosphamide,Atrasentan,1
Ethinyl,Tamoxifen,1
Cyclophosphamide,Belatacept,1
Cyclophosphamide,Basiliximab,1
Cyclophosphamide,Sotatercept,1
Cyclophosphamide,Casopitant,1
Cyclophosphamide,Palifermin,1
Acetaminophen,Azatadine,1
Acetaminophen,Bromodiphenhydramine,1
Ethinyl,Goserelin,1
Ethinyl,Sulfamerazine,1
Ethinyl,Sulfamethazine,1
Metformin,Isophane,1
Ethinyl,Interferon,1
Ethinyl,Clobetasol,1
Docetaxel,Afatinib,1
Docetaxel,Tirapazamine,1
Docetaxel,Procarbazine,1
Amoxicillin,Avibactam,1
Prednisone,CI-1040,1
Paclitaxel,Pemetrexed,1
Paclitaxel,Gefitinib,1
Paclitaxel,Sorivudine,1
Paclitaxel,Sunitinib,1
Pseudoephedrine,Oxytocin,1
Artesunate,Naphthoquine,1
Epinephrine,Diazepam,1
Artesunate,Methylene,1
Artesunate,Artemisinin,1
Hydrochlorothiazide,Atovaquone,1
Paclitaxel,Adarotene,1
Hydrochlorothiazide,Primaquine,1
Hydrochlorothiazide,Goserelin,1
Hydrochlorothiazide,Sulfadoxine,1
Hydrochlorothiazide,Aminophylline,1
Hydrochlorothiazide,Prilocaine,1
Hydrochlorothiazide,Aciclovir,1
Hydrochlorothiazide,Methdilazine,1
Hydrochlorothiazide,Naloxone,1
Hydrochlorothiazide,Prostaglandin,1
Hydrochlorothiazide,Dobutamine,1
Ethinyl,Aluminum,1
Ethinyl,Betamethasone,1
Hydrochlorothiazide,Fexofenadine,1
Hydrochlorothiazide,Gabapentin,1
Hydrochlorothiazide,Pioglitazone,1
Hydrochlorothiazide,Vildagliptin,1
Hydrochlorothiazide,Tolterodine,1
Amoxicillin,Ertapenem,1
Prednisone,Everolimus,1
Hydrochlorothiazide,Terlipressin,1
Pseudoephedrine,Omeprazole,1
Hydrochlorothiazide,Ezetimibe,1
Paclitaxel,Mesna,1
Paclitaxel,"""2'-Deoxyinosine""",1
Paclitaxel,Tirapazamine,1
Paclitaxel,Altretamine,1
Paclitaxel,Midodrine,1
Paclitaxel,Octreotide,1
Paclitaxel,Dacarbazine,1
Paclitaxel,Temozolomide,1
Paclitaxel,Creatine,1
Paclitaxel,Lomustine,1
Paclitaxel,Anastrozole,1
Paclitaxel,Pazopanib,1
Paclitaxel,Ixabepilone,1
Paclitaxel,Romiplostim,1
Ribavirin,Lisdexamfetamine,1
Ribavirin,Carbamazepine,1
Hydrocortisone,Desoxyribonuclease,1
Hydrocortisone,Nystatin,1
Lamivudine,Moxifloxacin,1
Hydrocortisone,Gatifloxacin,1
Hydrochlorothiazide,Minocycline,1
Hydrochlorothiazide,Glatiramer,1
Hydrochlorothiazide,Bimatoprost,1
Hydrochlorothiazide,Brimonidine,1
Hydrochlorothiazide,Iloprost,1
Pseudoephedrine,Tetracycline,1
Pseudoephedrine,Theophylline,1
Pseudoephedrine,Sodium,1
Hydrochlorothiazide,Risperidoene,1
Ceftriaxone,Cephalexin,1
Docetaxel,Arsenic,1
Aliskiren,Cerivastatin,1
Docetaxel,Isotretinoin,1
Docetaxel,Peginterferon,1
Docetaxel,Palifermin,1
Docetaxel,17-DMAG,1
Docetaxel,Azathioprine,1
Hydrochlorothiazide,Omalizumab,1
Docetaxel,Anti-thymocyte,1
Docetaxel,Genistein,1
Docetaxel,Iniparib,1
Docetaxel,SCH,1
Hydrochlorothiazide,Ipratropium,1
Docetaxel,Aldesleukin,1
Docetaxel,Belatacept,1
Docetaxel,Vinblastine,1
Docetaxel,Clotrimazole,1
Docetaxel,Neratinib,1
Docetaxel,Sulfasalazine,1
Docetaxel,Hydroxychloroquine,1
Docetaxel,Obatoclax,1
Hydrochlorothiazide,Misoprostol,1
Docetaxel,Romiplostim,1
Docetaxel,Rabeprazole,1
Docetaxel,Rifabutin,1
Docetaxel,Mesna,1
Docetaxel,Ofatumumab,1
Docetaxel,Octreotide,1
Docetaxel,Temozolomide,1
Docetaxel,Entecavir,1
Docetaxel,Adalimumab,1
Fluoxetine,Acamprosate,1
Aspirin,Amoxicillin,1
Ceftriaxone,Kanamycin,1
Valproic,Oxcarbazepine,1
Fentanyl,Propofol,1
Aliskiren,Nifedipine,1
Cyclophosphamide,Floxuridine,1
Aliskiren,Candesartan,1
Gliclazide,Zonisamide,1
Gliclazide,Lixisenatide,1
Cyclophosphamide,Hydroxychloroquine,1
Cyclophosphamide,Sulfasalazine,1
Aliskiren,Perindopril,1
Aliskiren,Prazosin,1
Pseudoephedrine,Azelastine,1
Ceftriaxone,Floxacillin,1
Tramadol,Methamphetamine,1
Tramadol,Chlorpheniramine,1
Tramadol,Orphenadrine,1
Tramadol,Isoproterenol,1
Tramadol,Carisoprodol,1
Tramadol,Cyclopentolate,1
Tramadol,Phenylephrine,1
Tramadol,Dihydrocodeine,1
Tramadol,Famotidine,1
Tramadol,Cetirizine,1
Tramadol,Theophylline,1
Tramadol,Pregabalin,1
Aliskiren,Gemfibrozil,1
Valproic,Carmustine,1
Aspirin,Furosemide,1
Aspirin,Ketoprofen,1
Aspirin,Ergotamine,1
Elvitegravir,Didanosine,1
